30/nov/2018 18:23:07
RngSeed: 1543602187399
DeathRate: 0.1
ImmigrantChanceCooperateWithDifferent: 0.1356738690101078
ImmigrantChanceCooperateWithSame: 0.2087207098815358
ImmigrantsPerDay: 1
InitialPtr: 0.10278681801219064
MutationRate: 0.007321829849743985
PlotResolution: 10
SmartChoice: false
SpaceSize: 50
TickDelay: 0

"tick", "Green - CC", "Red - CD", "Orange - DC", "Gray - DD"
15.0, 59.0, 399.0, 238.0, 1560.0
29.0, 54.0, 361.0, 226.0, 1480.0
43.0, 52.0, 343.0, 195.0, 1388.0
57.0, 47.0, 332.0, 183.0, 1332.0
71.0, 43.0, 319.0, 175.0, 1306.0
85.0, 40.0, 319.0, 166.0, 1298.0
99.0, 38.0, 315.0, 161.0, 1291.0
113.0, 35.0, 315.0, 158.0, 1279.0
127.0, 33.0, 316.0, 147.0, 1255.0
141.0, 32.0, 304.0, 142.0, 1252.0
155.0, 30.0, 306.0, 128.0, 1255.0
169.0, 33.0, 302.0, 119.0, 1256.0
183.0, 32.0, 289.0, 117.0, 1277.0
197.0, 30.0, 295.0, 110.0, 1283.0
211.0, 27.0, 296.0, 108.0, 1292.0
225.0, 28.0, 290.0, 107.0, 1258.0
239.0, 27.0, 298.0, 98.0, 1260.0
253.0, 24.0, 310.0, 93.0, 1243.0
267.0, 25.0, 308.0, 90.0, 1248.0
281.0, 25.0, 315.0, 86.0, 1268.0
295.0, 25.0, 332.0, 80.0, 1240.0
309.0, 25.0, 339.0, 78.0, 1210.0
323.0, 22.0, 350.0, 75.0, 1197.0
337.0, 23.0, 364.0, 69.0, 1151.0
351.0, 22.0, 380.0, 62.0, 1138.0
365.0, 23.0, 379.0, 59.0, 1110.0
379.0, 24.0, 402.0, 49.0, 1106.0
393.0, 20.0, 409.0, 46.0, 1097.0
407.0, 22.0, 412.0, 44.0, 1085.0
421.0, 22.0, 434.0, 42.0, 1090.0
435.0, 23.0, 468.0, 43.0, 1092.0
449.0, 26.0, 468.0, 40.0, 1088.0
463.0, 27.0, 457.0, 37.0, 1042.0
477.0, 26.0, 482.0, 27.0, 1002.0
491.0, 24.0, 508.0, 29.0, 996.0
505.0, 25.0, 513.0, 28.0, 979.0
519.0, 27.0, 536.0, 29.0, 966.0
533.0, 26.0, 557.0, 26.0, 968.0
547.0, 25.0, 597.0, 23.0, 954.0
561.0, 24.0, 609.0, 21.0, 947.0
575.0, 23.0, 649.0, 19.0, 925.0
589.0, 25.0, 672.0, 22.0, 910.0
603.0, 26.0, 659.0, 21.0, 914.0
617.0, 26.0, 674.0, 22.0, 905.0
631.0, 26.0, 699.0, 23.0, 869.0
645.0, 27.0, 729.0, 23.0, 871.0
659.0, 29.0, 747.0, 23.0, 880.0
673.0, 29.0, 782.0, 23.0, 852.0
687.0, 31.0, 789.0, 23.0, 851.0
701.0, 30.0, 795.0, 22.0, 859.0
715.0, 34.0, 833.0, 22.0, 841.0
729.0, 34.0, 847.0, 24.0, 850.0
743.0, 41.0, 876.0, 23.0, 815.0
757.0, 44.0, 877.0, 23.0, 820.0
771.0, 48.0, 900.0, 23.0, 808.0
785.0, 52.0, 912.0, 23.0, 786.0
799.0, 54.0, 919.0, 20.0, 770.0
813.0, 52.0, 936.0, 17.0, 750.0
827.0, 51.0, 966.0, 18.0, 729.0
841.0, 52.0, 991.0, 19.0, 724.0
855.0, 49.0, 1019.0, 20.0, 715.0
869.0, 47.0, 1049.0, 20.0, 697.0
883.0, 52.0, 1060.0, 18.0, 678.0
897.0, 46.0, 1086.0, 17.0, 663.0
911.0, 51.0, 1085.0, 16.0, 662.0
925.0, 51.0, 1125.0, 14.0, 644.0
939.0, 55.0, 1128.0, 16.0, 646.0
953.0, 55.0, 1170.0, 15.0, 638.0
967.0, 52.0, 1201.0, 10.0, 620.0
981.0, 46.0, 1197.0, 11.0, 613.0
995.0, 46.0, 1236.0, 11.0, 604.0
