30/nov/2018 18:23:17
RngSeed: 1543602197459
DeathRate: 0.1
ImmigrantChanceCooperateWithDifferent: 0.6387662074784026
ImmigrantChanceCooperateWithSame: 0.6714868456880128
ImmigrantsPerDay: 1
InitialPtr: 0.17315432998597344
MutationRate: 3.9556668142716857E-4
PlotResolution: 10
SmartChoice: true
SpaceSize: 50
TickDelay: 0

"tick", "Green - CC", "Red - CD", "Orange - DC", "Gray - DD"
15.0, 917.0, 599.0, 487.0, 260.0
29.0, 853.0, 587.0, 453.0, 247.0
43.0, 847.0, 579.0, 456.0, 243.0
57.0, 856.0, 571.0, 455.0, 242.0
71.0, 859.0, 551.0, 457.0, 245.0
85.0, 858.0, 560.0, 459.0, 246.0
99.0, 878.0, 554.0, 464.0, 245.0
113.0, 918.0, 544.0, 452.0, 247.0
127.0, 907.0, 544.0, 426.0, 239.0
141.0, 912.0, 562.0, 427.0, 232.0
155.0, 928.0, 564.0, 423.0, 230.0
169.0, 940.0, 570.0, 412.0, 223.0
183.0, 943.0, 581.0, 400.0, 208.0
197.0, 970.0, 601.0, 398.0, 208.0
211.0, 988.0, 610.0, 392.0, 203.0
225.0, 1012.0, 601.0, 384.0, 199.0
239.0, 1025.0, 607.0, 375.0, 194.0
253.0, 1030.0, 606.0, 376.0, 190.0
267.0, 1058.0, 598.0, 380.0, 186.0
281.0, 1070.0, 604.0, 362.0, 178.0
295.0, 1077.0, 617.0, 346.0, 173.0
309.0, 1078.0, 628.0, 349.0, 163.0
323.0, 1080.0, 630.0, 351.0, 159.0
337.0, 1083.0, 632.0, 343.0, 154.0
351.0, 1075.0, 630.0, 341.0, 145.0
365.0, 1110.0, 626.0, 321.0, 139.0
379.0, 1103.0, 637.0, 329.0, 140.0
393.0, 1094.0, 634.0, 329.0, 129.0
407.0, 1102.0, 637.0, 320.0, 126.0
421.0, 1110.0, 648.0, 313.0, 125.0
435.0, 1117.0, 660.0, 315.0, 123.0
449.0, 1123.0, 656.0, 304.0, 118.0
463.0, 1134.0, 656.0, 285.0, 113.0
477.0, 1151.0, 637.0, 291.0, 117.0
491.0, 1179.0, 656.0, 288.0, 107.0
505.0, 1162.0, 654.0, 290.0, 109.0
519.0, 1201.0, 656.0, 287.0, 107.0
533.0, 1180.0, 645.0, 276.0, 94.0
547.0, 1193.0, 650.0, 273.0, 84.0
561.0, 1210.0, 670.0, 266.0, 78.0
575.0, 1217.0, 676.0, 265.0, 75.0
589.0, 1203.0, 685.0, 270.0, 72.0
603.0, 1218.0, 681.0, 260.0, 75.0
617.0, 1213.0, 678.0, 276.0, 70.0
631.0, 1220.0, 679.0, 260.0, 68.0
645.0, 1217.0, 683.0, 264.0, 71.0
659.0, 1236.0, 679.0, 250.0, 66.0
673.0, 1238.0, 680.0, 243.0, 64.0
687.0, 1236.0, 684.0, 249.0, 60.0
701.0, 1251.0, 673.0, 240.0, 59.0
715.0, 1264.0, 678.0, 246.0, 59.0
729.0, 1250.0, 665.0, 235.0, 49.0
743.0, 1244.0, 675.0, 239.0, 47.0
757.0, 1289.0, 666.0, 229.0, 43.0
771.0, 1300.0, 657.0, 227.0, 42.0
785.0, 1286.0, 680.0, 232.0, 44.0
799.0, 1269.0, 662.0, 229.0, 37.0
813.0, 1285.0, 666.0, 227.0, 36.0
827.0, 1289.0, 672.0, 222.0, 37.0
841.0, 1321.0, 673.0, 216.0, 36.0
855.0, 1296.0, 686.0, 207.0, 35.0
869.0, 1312.0, 671.0, 217.0, 34.0
883.0, 1311.0, 656.0, 203.0, 33.0
897.0, 1310.0, 657.0, 197.0, 32.0
911.0, 1348.0, 670.0, 199.0, 27.0
925.0, 1354.0, 669.0, 197.0, 26.0
939.0, 1335.0, 685.0, 191.0, 25.0
953.0, 1345.0, 692.0, 195.0, 26.0
967.0, 1331.0, 679.0, 188.0, 25.0
981.0, 1359.0, 684.0, 187.0, 22.0
995.0, 1343.0, 684.0, 179.0, 24.0
